ID,Employee_Name,Department,OCR_JSON_STRING
11,최도윤,재무팀,"{""merchant_details"": {""name"": ""XX마트"", ""address"": ""서울시 어딘가 구 339번길""}, ""transaction"": {""date"": ""2026-01-31"", ""time"": ""16:09"", ""total_amount"": 530607}, ""line_items"": [{""item_name"": ""가죽 벨트"", ""quantity"": 3, ""unit_price"": 160753, ""total_price"": 482259}, {""item_name"": ""삼다수 2L(6입)"", ""quantity"": 2, ""unit_price"": 6861, ""total_price"": 13722}, {""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 3, ""unit_price"": 11542, ""total_price"": 34626}]}"
12,김철수,영업팀,"{""merchant_details"": {""name"": ""GS25"", ""address"": ""서울시 어딘가 구 459번길""}, ""transaction"": {""date"": ""2026-02-03"", ""time"": ""16:39"", ""total_amount"": 57506}, ""line_items"": [{""item_name"": ""물티슈(대용량)"", ""quantity"": 3, ""unit_price"": 4323, ""total_price"": 12969}, {""item_name"": ""아이코스 테리아"", ""quantity"": 1, ""unit_price"": 7365, ""total_price"": 7365}, {""item_name"": ""A4용지(1박스)"", ""quantity"": 1, ""unit_price"": 37172, ""total_price"": 37172}]}"
13,박민준,개발팀,"{""merchant_details"": {""name"": ""강남갈비"", ""address"": ""서울시 어딘가 구 352번길""}, ""transaction"": {""date"": ""2026-01-05"", ""time"": ""10:06"", ""total_amount"": 103526}, ""line_items"": [{""item_name"": ""소주"", ""quantity"": 2, ""unit_price"": 5695, ""total_price"": 11390}, {""item_name"": ""맥주"", ""quantity"": 3, ""unit_price"": 5107, ""total_price"": 15321}, {""item_name"": ""위스키 샷"", ""quantity"": 3, ""unit_price"": 25605, ""total_price"": 76815}]}"
14,윤서준,IT지원팀,"{""merchant_details"": {""name"": ""강남갈비"", ""address"": ""서울시 어딘가 구 948번길""}, ""transaction"": {""date"": ""2026-01-23"", ""time"": ""09:41"", ""total_amount"": 35584}, ""line_items"": [{""item_name"": ""위스키 샷"", ""quantity"": 1, ""unit_price"": 20461, ""total_price"": 20461}, {""item_name"": ""된장찌개"", ""quantity"": 1, ""unit_price"": 7386, ""total_price"": 7386}, {""item_name"": ""볶음밥"", ""quantity"": 3, ""unit_price"": 2579, ""total_price"": 7737}]}"
15,윤서준,IT지원팀,"{""merchant_details"": {""name"": ""을지로포차"", ""address"": ""서울시 어딘가 구 944번길""}, ""transaction"": {""date"": ""2026-02-03"", ""time"": ""02:41"", ""total_amount"": 174462}, ""line_items"": [{""item_name"": ""위스키 샷"", ""quantity"": 3, ""unit_price"": 27970, ""total_price"": 83910}, {""item_name"": ""모듬 곱창"", ""quantity"": 2, ""unit_price"": 27093, ""total_price"": 54186}, {""item_name"": ""소주"", ""quantity"": 3, ""unit_price"": 5719, ""total_price"": 17157}, {""item_name"": ""맥주"", ""quantity"": 3, ""unit_price"": 6403, ""total_price"": 19209}]}"
16,윤서준,IT지원팀,"{""merchant_details"": {""name"": ""△△백화점"", ""address"": ""서울시 어딘가 구 799번길""}, ""transaction"": {""date"": ""2026-02-04"", ""time"": ""23:56"", ""total_amount"": 364343}, ""line_items"": [{""item_name"": ""A4용지(1박스)"", ""quantity"": 2, ""unit_price"": 37967, ""total_price"": 75934}, {""item_name"": ""한우 등심"", ""quantity"": 1, ""unit_price"": 67423, ""total_price"": 67423}, {""item_name"": ""가죽 벨트"", ""quantity"": 1, ""unit_price"": 190617, ""total_price"": 190617}, {""item_name"": ""신라면(20입)"", ""quantity"": 1, ""unit_price"": 16211, ""total_price"": 16211}, {""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 1, ""unit_price"": 14158, ""total_price"": 14158}]}"
17,김철수,영업팀,"{""merchant_details"": {""name"": ""남산돈까스"", ""address"": ""서울시 어딘가 구 799번길""}, ""transaction"": {""date"": ""2026-01-11"", ""time"": ""23:28"", ""total_amount"": 40130}, ""line_items"": [{""item_name"": ""된장찌개"", ""quantity"": 3, ""unit_price"": 6543, ""total_price"": 19629}, {""item_name"": ""볶음밥"", ""quantity"": 1, ""unit_price"": 2664, ""total_price"": 2664}, {""item_name"": ""삼겹살"", ""quantity"": 1, ""unit_price"": 17837, ""total_price"": 17837}]}"
18,김철수,영업팀,"{""merchant_details"": {""name"": ""GS25"", ""address"": ""서울시 어딘가 구 482번길""}, ""transaction"": {""date"": ""2026-01-19"", ""time"": ""12:32"", ""total_amount"": 1015301}, ""line_items"": [{""item_name"": ""삼다수 2L(6입)"", ""quantity"": 1, ""unit_price"": 6093, ""total_price"": 6093}, {""item_name"": ""아이코스 테리아"", ""quantity"": 1, ""unit_price"": 25081, ""total_price"": 25081}, {""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 2, ""unit_price"": 11589, ""total_price"": 23178}, {""item_name"": ""한우 등심"", ""quantity"": 2, ""unit_price"": 82226, ""total_price"": 164452}, {""item_name"": ""가죽 벨트"", ""quantity"": 3, ""unit_price"": 265499, ""total_price"": 796497}]}"
19,윤서준,IT지원팀,"{""merchant_details"": {""name"": ""을지로포차"", ""address"": ""서울시 어딘가 구 502번길""}, ""transaction"": {""date"": ""2026-01-24"", ""time"": ""17:59"", ""total_amount"": 10650}, ""line_items"": [{""item_name"": ""된장찌개"", ""quantity"": 1, ""unit_price"": 6024, ""total_price"": 6024}, {""item_name"": ""볶음밥"", ""quantity"": 1, ""unit_price"": 4626, ""total_price"": 4626}]}"
20,이영희,마케팅팀,"{""merchant_details"": {""name"": ""남산돈까스"", ""address"": ""서울시 어딘가 구 979번길""}, ""transaction"": {""date"": ""2026-01-15"", ""time"": ""14:56"", ""total_amount"": 111791}, ""line_items"": [{""item_name"": ""된장찌개"", ""quantity"": 1, ""unit_price"": 6117, ""total_price"": 6117}, {""item_name"": ""모듬 곱창"", ""quantity"": 2, ""unit_price"": 33410, ""total_price"": 66820}, {""item_name"": ""소주"", ""quantity"": 1, ""unit_price"": 5850, ""total_price"": 5850}, {""item_name"": ""위스키 샷"", ""quantity"": 2, ""unit_price"": 16502, ""total_price"": 33004}]}"
21,강지민,전략기획팀,"{""merchant_details"": {""name"": ""XX마트"", ""address"": ""서울시 어딘가 구 303번길""}, ""transaction"": {""date"": ""2026-01-31"", ""time"": ""22:53"", ""total_amount"": 497948}, ""line_items"": [{""item_name"": ""A4용지(1박스)"", ""quantity"": 1, ""unit_price"": 36142, ""total_price"": 36142}, {""item_name"": ""삼다수 2L(6입)"", ""quantity"": 1, ""unit_price"": 5057, ""total_price"": 5057}, {""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 2, ""unit_price"": 10811, ""total_price"": 21622}, {""item_name"": ""한우 등심"", ""quantity"": 3, ""unit_price"": 81297, ""total_price"": 243891}, {""item_name"": ""신라면(20입)"", ""quantity"": 2, ""unit_price"": 15598, ""total_price"": 31196}, {""item_name"": ""가죽 벨트"", ""quantity"": 1, ""unit_price"": 160040, ""total_price"": 160040}]}"
22,박민준,개발팀,"{""merchant_details"": {""name"": ""남산돈까스"", ""address"": ""서울시 어딘가 구 972번길""}, ""transaction"": {""date"": ""2026-02-03"", ""time"": ""13:07"", ""total_amount"": 44795}, ""line_items"": [{""item_name"": ""맥주"", ""quantity"": 1, ""unit_price"": 5038, ""total_price"": 5038}, {""item_name"": ""볶음밥"", ""quantity"": 2, ""unit_price"": 2883, ""total_price"": 5766}, {""item_name"": ""모듬 곱창"", ""quantity"": 1, ""unit_price"": 33991, ""total_price"": 33991}]}"
23,최도윤,재무팀,"{""merchant_details"": {""name"": ""을지로포차"", ""address"": ""서울시 어딘가 구 558번길""}, ""transaction"": {""date"": ""2026-01-02"", ""time"": ""20:32"", ""total_amount"": 105320}, ""line_items"": [{""item_name"": ""모듬 곱창"", ""quantity"": 2, ""unit_price"": 32489, ""total_price"": 64978}, {""item_name"": ""된장찌개"", ""quantity"": 1, ""unit_price"": 5454, ""total_price"": 5454}, {""item_name"": ""삼겹살"", ""quantity"": 2, ""unit_price"": 17444, ""total_price"": 34888}]}"
24,정수진,인사팀,"{""merchant_details"": {""name"": ""남산돈까스"", ""address"": ""서울시 어딘가 구 594번길""}, ""transaction"": {""date"": ""2026-01-27"", ""time"": ""05:42"", ""total_amount"": 16613}, ""line_items"": [{""item_name"": ""소주"", ""quantity"": 1, ""unit_price"": 5629, ""total_price"": 5629}, {""item_name"": ""맥주"", ""quantity"": 2, ""unit_price"": 5492, ""total_price"": 10984}]}"
25,이영희,마케팅팀,"{""merchant_details"": {""name"": ""△△백화점"", ""address"": ""서울시 어딘가 구 363번길""}, ""transaction"": {""date"": ""2026-01-16"", ""time"": ""23:42"", ""total_amount"": 551314}, ""line_items"": [{""item_name"": ""신라면(20입)"", ""quantity"": 2, ""unit_price"": 16925, ""total_price"": 33850}, {""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 1, ""unit_price"": 13169, ""total_price"": 13169}, {""item_name"": ""가죽 벨트"", ""quantity"": 2, ""unit_price"": 216492, ""total_price"": 432984}, {""item_name"": ""물티슈(대용량)"", ""quantity"": 3, ""unit_price"": 3033, ""total_price"": 9099}, {""item_name"": ""A4용지(1박스)"", ""quantity"": 2, ""unit_price"": 31106, ""total_price"": 62212}]}"
26,이영희,마케팅팀,"{""merchant_details"": {""name"": ""△△백화점"", ""address"": ""서울시 어딘가 구 743번길""}, ""transaction"": {""date"": ""2026-01-30"", ""time"": ""01:18"", ""total_amount"": 456138}, ""line_items"": [{""item_name"": ""한우 등심"", ""quantity"": 3, ""unit_price"": 65737, ""total_price"": 197211}, {""item_name"": ""A4용지(1박스)"", ""quantity"": 3, ""unit_price"": 37612, ""total_price"": 112836}, {""item_name"": ""아이코스 테리아"", ""quantity"": 3, ""unit_price"": 36161, ""total_price"": 108483}, {""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 3, ""unit_price"": 11493, ""total_price"": 34479}, {""item_name"": ""물티슈(대용량)"", ""quantity"": 1, ""unit_price"": 3129, ""total_price"": 3129}]}"
27,정수진,인사팀,"{""merchant_details"": {""name"": ""XX마트"", ""address"": ""서울시 어딘가 구 892번길""}, ""transaction"": {""date"": ""2026-01-04"", ""time"": ""20:21"", ""total_amount"": 440338}, ""line_items"": [{""item_name"": ""A4용지(1박스)"", ""quantity"": 2, ""unit_price"": 38897, ""total_price"": 77794}, {""item_name"": ""한우 등심"", ""quantity"": 2, ""unit_price"": 68300, ""total_price"": 136600}, {""item_name"": ""가죽 벨트"", ""quantity"": 1, ""unit_price"": 200096, ""total_price"": 200096}, {""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 2, ""unit_price"": 12924, ""total_price"": 25848}]}"
28,최도윤,재무팀,"{""merchant_details"": {""name"": ""XX마트"", ""address"": ""서울시 어딘가 구 90번길""}, ""transaction"": {""date"": ""2026-01-28"", ""time"": ""19:52"", ""total_amount"": 498598}, ""line_items"": [{""item_name"": ""가죽 벨트"", ""quantity"": 2, ""unit_price"": 198973, ""total_price"": 397946}, {""item_name"": ""삼다수 2L(6입)"", ""quantity"": 2, ""unit_price"": 6417, ""total_price"": 12834}, {""item_name"": ""물티슈(대용량)"", ""quantity"": 2, ""unit_price"": 3752, ""total_price"": 7504}, {""item_name"": ""아이코스 테리아"", ""quantity"": 3, ""unit_price"": 22279, ""total_price"": 66837}, {""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 1, ""unit_price"": 13477, ""total_price"": 13477}]}"
29,박민준,개발팀,"{""merchant_details"": {""name"": ""△△백화점"", ""address"": ""서울시 어딘가 구 639번길""}, ""transaction"": {""date"": ""2026-01-28"", ""time"": ""08:40"", ""total_amount"": 547326}, ""line_items"": [{""item_name"": ""물티슈(대용량)"", ""quantity"": 2, ""unit_price"": 3913, ""total_price"": 7826}, {""item_name"": ""A4용지(1박스)"", ""quantity"": 3, ""unit_price"": 36981, ""total_price"": 110943}, {""item_name"": ""가죽 벨트"", ""quantity"": 1, ""unit_price"": 266367, ""total_price"": 266367}, {""item_name"": ""한우 등심"", ""quantity"": 2, ""unit_price"": 74651, ""total_price"": 149302}, {""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 1, ""unit_price"": 12888, ""total_price"": 12888}]}"
30,김철수,영업팀,"{""merchant_details"": {""name"": ""XX마트"", ""address"": ""서울시 어딘가 구 590번길""}, ""transaction"": {""date"": ""2026-01-03"", ""time"": ""19:09"", ""total_amount"": 146336}, ""line_items"": [{""item_name"": ""물티슈(대용량)"", ""quantity"": 3, ""unit_price"": 4388, ""total_price"": 13164}, {""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 2, ""unit_price"": 10285, ""total_price"": 20570}, {""item_name"": ""아이코스 테리아"", ""quantity"": 1, ""unit_price"": 9206, ""total_price"": 9206}, {""item_name"": ""신라면(20입)"", ""quantity"": 1, ""unit_price"": 17642, ""total_price"": 17642}, {""item_name"": ""A4용지(1박스)"", ""quantity"": 2, ""unit_price"": 35933, ""total_price"": 71866}, {""item_name"": ""삼다수 2L(6입)"", ""quantity"": 2, ""unit_price"": 6944, ""total_price"": 13888}]}"
31,한지원,홍보팀,"{""merchant_details"": {""name"": ""강남갈비"", ""address"": ""서울시 어딘가 구 295번길""}, ""transaction"": {""date"": ""2026-01-16"", ""time"": ""03:01"", ""total_amount"": 78446}, ""line_items"": [{""item_name"": ""맥주"", ""quantity"": 1, ""unit_price"": 6084, ""total_price"": 6084}, {""item_name"": ""모듬 곱창"", ""quantity"": 2, ""unit_price"": 31521, ""total_price"": 63042}, {""item_name"": ""볶음밥"", ""quantity"": 2, ""unit_price"": 4660, ""total_price"": 9320}]}"
32,박민준,개발팀,"{""merchant_details"": {""name"": ""GS25"", ""address"": ""서울시 어딘가 구 708번길""}, ""transaction"": {""date"": ""2026-01-21"", ""time"": ""21:22"", ""total_amount"": 398936}, ""line_items"": [{""item_name"": ""신라면(20입)"", ""quantity"": 2, ""unit_price"": 17842, ""total_price"": 35684}, {""item_name"": ""한우 등심"", ""quantity"": 2, ""unit_price"": 66559, ""total_price"": 133118}, {""item_name"": ""가죽 벨트"", ""quantity"": 1, ""unit_price"": 185580, ""total_price"": 185580}, {""item_name"": ""삼다수 2L(6입)"", ""quantity"": 1, ""unit_price"": 5925, ""total_price"": 5925}, {""item_name"": ""아이코스 테리아"", ""quantity"": 1, ""unit_price"": 33970, ""total_price"": 33970}, {""item_name"": ""물티슈(대용량)"", ""quantity"": 1, ""unit_price"": 4659, ""total_price"": 4659}]}"
33,이영희,마케팅팀,"{""merchant_details"": {""name"": ""△△백화점"", ""address"": ""서울시 어딘가 구 596번길""}, ""transaction"": {""date"": ""2026-01-24"", ""time"": ""14:51"", ""total_amount"": 416576}, ""line_items"": [{""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 3, ""unit_price"": 11836, ""total_price"": 35508}, {""item_name"": ""가죽 벨트"", ""quantity"": 1, ""unit_price"": 202685, ""total_price"": 202685}, {""item_name"": ""신라면(20입)"", ""quantity"": 1, ""unit_price"": 15969, ""total_price"": 15969}, {""item_name"": ""물티슈(대용량)"", ""quantity"": 2, ""unit_price"": 3053, ""total_price"": 6106}, {""item_name"": ""한우 등심"", ""quantity"": 2, ""unit_price"": 78154, ""total_price"": 156308}]}"
34,박민준,개발팀,"{""merchant_details"": {""name"": ""△△백화점"", ""address"": ""서울시 어딘가 구 429번길""}, ""transaction"": {""date"": ""2026-01-05"", ""time"": ""04:20"", ""total_amount"": 221432}, ""line_items"": [{""item_name"": ""신라면(20입)"", ""quantity"": 3, ""unit_price"": 17944, ""total_price"": 53832}, {""item_name"": ""한우 등심"", ""quantity"": 2, ""unit_price"": 77225, ""total_price"": 154450}, {""item_name"": ""삼다수 2L(6입)"", ""quantity"": 2, ""unit_price"": 6575, ""total_price"": 13150}]}"
35,이영희,마케팅팀,"{""merchant_details"": {""name"": ""GS25"", ""address"": ""서울시 어딘가 구 364번길""}, ""transaction"": {""date"": ""2026-02-03"", ""time"": ""09:54"", ""total_amount"": 424170}, ""line_items"": [{""item_name"": ""물티슈(대용량)"", ""quantity"": 2, ""unit_price"": 4029, ""total_price"": 8058}, {""item_name"": ""신라면(20입)"", ""quantity"": 1, ""unit_price"": 15508, ""total_price"": 15508}, {""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 3, ""unit_price"": 11253, ""total_price"": 33759}, {""item_name"": ""아이코스 테리아"", ""quantity"": 2, ""unit_price"": 15590, ""total_price"": 31180}, {""item_name"": ""가죽 벨트"", ""quantity"": 1, ""unit_price"": 234583, ""total_price"": 234583}, {""item_name"": ""A4용지(1박스)"", ""quantity"": 3, ""unit_price"": 33694, ""total_price"": 101082}]}"
36,이영희,마케팅팀,"{""merchant_details"": {""name"": ""강남갈비"", ""address"": ""서울시 어딘가 구 639번길""}, ""transaction"": {""date"": ""2026-02-04"", ""time"": ""02:32"", ""total_amount"": 43820}, ""line_items"": [{""item_name"": ""위스키 샷"", ""quantity"": 2, ""unit_price"": 17050, ""total_price"": 34100}, {""item_name"": ""볶음밥"", ""quantity"": 3, ""unit_price"": 3240, ""total_price"": 9720}]}"
37,박민준,개발팀,"{""merchant_details"": {""name"": ""△△백화점"", ""address"": ""서울시 어딘가 구 676번길""}, ""transaction"": {""date"": ""2026-01-14"", ""time"": ""18:26"", ""total_amount"": 414510}, ""line_items"": [{""item_name"": ""한우 등심"", ""quantity"": 2, ""unit_price"": 87608, ""total_price"": 175216}, {""item_name"": ""물티슈(대용량)"", ""quantity"": 3, ""unit_price"": 3084, ""total_price"": 9252}, {""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 1, ""unit_price"": 10665, ""total_price"": 10665}, {""item_name"": ""가죽 벨트"", ""quantity"": 1, ""unit_price"": 219377, ""total_price"": 219377}]}"
38,김철수,영업팀,"{""merchant_details"": {""name"": ""GS25"", ""address"": ""서울시 어딘가 구 358번길""}, ""transaction"": {""date"": ""2026-01-10"", ""time"": ""10:55"", ""total_amount"": 740616}, ""line_items"": [{""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 2, ""unit_price"": 10597, ""total_price"": 21194}, {""item_name"": ""삼다수 2L(6입)"", ""quantity"": 3, ""unit_price"": 5122, ""total_price"": 15366}, {""item_name"": ""신라면(20입)"", ""quantity"": 1, ""unit_price"": 16800, ""total_price"": 16800}, {""item_name"": ""가죽 벨트"", ""quantity"": 2, ""unit_price"": 276943, ""total_price"": 553886}, {""item_name"": ""한우 등심"", ""quantity"": 2, ""unit_price"": 66685, ""total_price"": 133370}]}"
39,강지민,전략기획팀,"{""merchant_details"": {""name"": ""남산돈까스"", ""address"": ""서울시 어딘가 구 135번길""}, ""transaction"": {""date"": ""2026-01-18"", ""time"": ""14:15"", ""total_amount"": 40234}, ""line_items"": [{""item_name"": ""맥주"", ""quantity"": 3, ""unit_price"": 6150, ""total_price"": 18450}, {""item_name"": ""삼겹살"", ""quantity"": 1, ""unit_price"": 16307, ""total_price"": 16307}, {""item_name"": ""소주"", ""quantity"": 1, ""unit_price"": 5477, ""total_price"": 5477}]}"
40,박민준,개발팀,"{""merchant_details"": {""name"": ""XX마트"", ""address"": ""서울시 어딘가 구 748번길""}, ""transaction"": {""date"": ""2026-01-21"", ""time"": ""06:48"", ""total_amount"": 116050}, ""line_items"": [{""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 2, ""unit_price"": 12033, ""total_price"": 24066}, {""item_name"": ""삼다수 2L(6입)"", ""quantity"": 1, ""unit_price"": 6666, ""total_price"": 6666}, {""item_name"": ""아이코스 테리아"", ""quantity"": 2, ""unit_price"": 42659, ""total_price"": 85318}]}"
41,박민준,개발팀,"{""merchant_details"": {""name"": ""GS25"", ""address"": ""서울시 어딘가 구 698번길""}, ""transaction"": {""date"": ""2026-01-31"", ""time"": ""09:34"", ""total_amount"": 300483}, ""line_items"": [{""item_name"": ""아이코스 테리아"", ""quantity"": 3, ""unit_price"": 34765, ""total_price"": 104295}, {""item_name"": ""한우 등심"", ""quantity"": 1, ""unit_price"": 67049, ""total_price"": 67049}, {""item_name"": ""삼다수 2L(6입)"", ""quantity"": 3, ""unit_price"": 5722, ""total_price"": 17166}, {""item_name"": ""A4용지(1박스)"", ""quantity"": 1, ""unit_price"": 30828, ""total_price"": 30828}, {""item_name"": ""모나미 볼펜 셋트"", ""quantity"": 2, ""unit_price"": 14054, ""total_price"": 28108}, {""item_name"": ""신라면(20입)"", ""quantity"": 3, ""unit_price"": 17679, ""total_price"": 53037}]}"
42,김철수,영업팀,"{""merchant_details"": {""name"": ""XX마트"", ""address"": ""서울시 어딘가 구 471번길""}, ""transaction"": {""date"": ""2026-02-05"", ""time"": ""08:52"", ""total_amount"": 759971}, ""line_items"": [{""item_name"": ""한우 등심"", ""quantity"": 1, ""unit_price"": 73126, ""total_price"": 73126}, {""item_name"": ""아이코스 테리아"", ""quantity"": 1, ""unit_price"": 42173, ""total_price"": 42173}, {""item_name"": ""물티슈(대용량)"", ""quantity"": 3, ""unit_price"": 3398, ""total_price"": 10194}, {""item_name"": ""가죽 벨트"", ""quantity"": 2, ""unit_price"": 295024, ""total_price"": 590048}, {""item_name"": ""삼다수 2L(6입)"", ""quantity"": 2, ""unit_price"": 5150, ""total_price"": 10300}, {""item_name"": ""신라면(20입)"", ""quantity"": 2, ""unit_price"": 17065, ""total_price"": 34130}]}"
43,이영희,마케팅팀,"{""merchant_details"": {""name"": ""을지로포차"", ""address"": ""서울시 어딘가 구 157번길""}, ""transaction"": {""date"": ""2026-01-13"", ""time"": ""19:32"", ""total_amount"": 23830}, ""line_items"": [{""item_name"": ""맥주"", ""quantity"": 2, ""unit_price"": 6142, ""total_price"": 12284}, {""item_name"": ""소주"", ""quantity"": 2, ""unit_price"": 5773, ""total_price"": 11546}]}"
